,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,cluster
534,0.364,0.487,4,-12.888,1,0.0464,0.437,1.28e-06,0.266,0.285,125.271,289803,4,13
535,0.452,0.574,0,-12.452,0,0.0674,0.0191,0.000111,0.112,0.229,142.076,428291,4,10
536,0.503,0.594,11,-13.872,0,0.127,0.013,0.919,0.26,0.452,100.467,150802,4,14
537,0.424,0.662,3,-10.827,1,0.0434,0.00152,0.0241,0.176,0.627,137.347,372145,4,3
538,0.793,0.703,0,-9.548,1,0.0581,0.000726,0.88,0.075,0.856,130.27,450800,4,10
539,0.536,0.854,7,-6.907,1,0.0298,0.0129,0.743,0.156,0.905,122.733,162160,4,7
540,0.791,0.7,11,-6.96,1,0.0297,0.201,0.000312,0.0562,0.8,120.741,279067,4,0
541,0.622,0.43,7,-15.587,1,0.0434,0.863,0.0217,0.118,0.882,148.219,210067,4,11
542,0.554,0.667,1,-10.226,0,0.0342,0.628,0.0,0.0486,0.597,112.749,157960,4,7
543,0.548,0.68,9,-8.675,0,0.0474,0.0148,0.000949,0.0877,0.851,148.494,280333,4,0
544,0.619,0.438,3,-13.139,1,0.0359,0.528,0.000869,0.0623,0.541,73.122,208093,4,11
545,0.682,0.765,1,-5.021,0,0.0395,0.0268,3.42e-05,0.188,0.567,90.807,182747,4,1
546,0.588,0.165,4,-20.076,1,0.0498,0.97,0.000117,0.206,0.605,135.958,110840,4,4
547,0.603,0.276,4,-19.238,1,0.0871,0.911,0.00237,0.484,0.86,99.561,125933,4,14
548,0.699,0.467,4,-8.578,0,0.0375,0.685,0.0,0.315,0.764,119.287,130173,4,14
549,0.526,0.215,4,-20.805,1,0.0382,0.883,0.209,0.208,0.628,140.314,172373,4,7
550,0.607,0.188,8,-12.198,1,0.042,0.937,0.0,0.122,0.672,148.951,126600,3,14
551,0.536,0.696,4,-6.818,0,0.0365,0.134,3.17e-06,0.287,0.683,117.179,214027,4,11
552,0.635,0.684,0,-11.687,1,0.0329,0.088,0.156,0.0755,0.892,120.269,268547,4,0
553,0.589,0.46,9,-14.54,0,0.0511,0.271,4.95e-05,0.224,0.705,148.172,310760,4,13
554,0.411,0.845,4,-6.821,0,0.0835,0.117,0.0146,0.0763,0.391,132.876,515960,4,2
555,0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,263333,4,12
556,0.641,0.612,2,-8.307,1,0.0361,0.0474,0.0588,0.102,0.854,136.413,184747,4,1
557,0.653,0.519,2,-10.164,1,0.0497,0.406,0.0209,0.101,0.822,98.883,153693,4,7
558,0.544,0.555,5,-7.577,1,0.0354,0.593,1.69e-06,0.0931,0.5,124.344,192427,4,1
559,0.59,0.671,1,-12.484,1,0.154,0.0939,0.0,0.248,0.736,109.333,200267,4,1
560,0.679,0.741,11,-7.596,1,0.0494,0.134,0.207,0.0985,0.363,130.033,294773,4,13
561,0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,438493,4,10
562,0.545,0.454,3,-6.706,1,0.0302,0.566,0.0,0.0541,0.393,96.784,173173,4,7
563,0.587,0.617,7,-9.164,1,0.028,0.0197,0.639,0.199,0.947,100.495,191307,4,1
564,0.581,0.28,4,-9.091,0,0.0381,0.936,1.56e-05,0.305,0.813,137.831,126533,4,14
565,0.39,0.502,10,-12.277,1,0.178,0.336,0.000138,0.0713,0.289,97.871,247320,4,12
566,0.358,0.845,0,-5.654,1,0.069,0.719,0.00646,0.832,0.954,175.44,136413,4,14
567,0.304,0.657,0,-13.567,1,0.0824,0.787,0.954,0.113,0.102,120.338,162133,4,7
568,0.202,0.791,2,-1.814,1,0.0435,0.125,0.0228,0.125,0.522,174.872,198760,4,1
569,0.633,0.885,2,-7.519,1,0.0337,0.234,0.00114,0.169,0.965,148.394,175667,4,7
570,0.846,0.573,9,-10.797,1,0.212,0.312,0.0429,0.117,0.876,113.968,156320,4,7
571,0.329,0.974,3,-8.77,0,0.135,0.000852,0.000118,0.0904,0.234,140.862,166920,4,7
572,0.407,0.834,6,-9.224,1,0.208,0.0734,0.00021,0.241,0.71,121.38,205293,4,11
573,0.625,0.835,9,-6.476,0,0.0491,0.0831,0.0842,0.0999,0.876,118.641,662773,4,8
574,0.455,0.437,4,-11.411,1,0.0278,0.314,0.0,0.501,0.724,81.396,283640,4,0
575,0.531,0.925,1,-5.004,0,0.0399,0.11,0.031,0.0798,0.881,200.934,251453,4,12
576,0.652,0.609,9,-9.684,0,0.028,0.298,8.79e-06,0.0573,0.646,98.125,230107,4,5
577,0.581,0.78,4,-7.053,1,0.0567,0.508,1.07e-05,0.0799,0.561,123.711,203680,4,11
578,0.529,0.968,9,-5.198,1,0.0503,0.00506,0.00034,0.201,0.751,150.326,302627,4,13
579,0.676,0.695,11,-13.395,0,0.0392,0.326,1.09e-05,0.0462,0.691,114.93,236800,4,5
580,0.541,0.81,0,-11.745,1,0.0367,0.000975,0.00158,0.0681,0.647,155.582,251573,4,12
581,0.625,0.686,9,-8.337,0,0.0309,0.0154,0.0499,0.0932,0.556,139.817,211693,4,11
582,0.259,0.473,5,-8.275,1,0.0295,0.592,0.0,0.201,0.539,90.348,157867,4,7
583,0.713,0.258,9,-14.59,1,0.0384,0.877,0.00606,0.0967,0.56,98.805,176533,4,7
584,0.671,0.373,9,-18.064,1,0.0323,0.257,8.01e-05,0.0481,0.732,92.718,295893,4,13
585,0.602,0.877,4,-6.606,1,0.0515,0.000343,0.635,0.0551,0.617,123.679,247962,4,12
586,0.513,0.979,0,-6.362,1,0.0425,0.0195,0.0951,0.0906,0.94,152.875,295466,4,13
587,0.673,0.84,2,-9.904,1,0.0693,0.193,0.000113,0.295,0.887,142.402,216787,4,11
