,names,ids,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
167,The Devil Went Down to Georgia,6gRACp2CvsIhc7hyw8CecQ,The Charlie Daniels Band,0.517,0.535,0,-12.027,1,0.0494,0.131,0.0,0.085,0.933,135.087,audio_features,6gRACp2CvsIhc7hyw8CecQ,spotify:track:6gRACp2CvsIhc7hyw8CecQ,https://api.spotify.com/v1/tracks/6gRACp2CvsIhc7hyw8CecQ,https://api.spotify.com/v1/audio-analysis/6gRACp2CvsIhc7hyw8CecQ,215067,4
168,You Can't Always Get What You Want,6lFZbCc7pn6Lme1NP7qQqQ,The Rolling Stones,0.32,0.62,0,-9.686,1,0.0594,0.64,6.36e-05,0.253,0.472,86.327,audio_features,6lFZbCc7pn6Lme1NP7qQqQ,spotify:track:6lFZbCc7pn6Lme1NP7qQqQ,https://api.spotify.com/v1/tracks/6lFZbCc7pn6Lme1NP7qQqQ,https://api.spotify.com/v1/audio-analysis/6lFZbCc7pn6Lme1NP7qQqQ,448720,4
169,Panama - 2015 Remaster,05RgAMGypEvqhNs5hPCbMS,Van Halen,0.526,0.978,8,-5.436,1,0.108,0.00122,4.75e-05,0.0744,0.451,141.167,audio_features,05RgAMGypEvqhNs5hPCbMS,spotify:track:05RgAMGypEvqhNs5hPCbMS,https://api.spotify.com/v1/tracks/05RgAMGypEvqhNs5hPCbMS,https://api.spotify.com/v1/audio-analysis/05RgAMGypEvqhNs5hPCbMS,210227,4
170,(I Just) Died In Your Arms,0YPXkQthLWrhNGoKTbwCJ8,Cutting Crew,0.632,0.727,11,-11.209,0,0.0438,0.0119,7.64e-05,0.0678,0.499,124.919,audio_features,0YPXkQthLWrhNGoKTbwCJ8,spotify:track:0YPXkQthLWrhNGoKTbwCJ8,https://api.spotify.com/v1/tracks/0YPXkQthLWrhNGoKTbwCJ8,https://api.spotify.com/v1/audio-analysis/0YPXkQthLWrhNGoKTbwCJ8,278627,4
171,Free Fallin',7woZGXjtaYwuvSoU1zToB3,Tom Petty,0.617,0.435,5,-13.547,1,0.0256,0.178,0.0,0.0822,0.601,84.382,audio_features,7woZGXjtaYwuvSoU1zToB3,spotify:track:7woZGXjtaYwuvSoU1zToB3,https://api.spotify.com/v1/tracks/7woZGXjtaYwuvSoU1zToB3,https://api.spotify.com/v1/audio-analysis/7woZGXjtaYwuvSoU1zToB3,256667,4
172,Here I Go Again - 1987 Version; 2017 Remaster,0Cp7pkYwl4WCGRHhrfcsrg,Whitesnake,0.384,0.846,7,-5.591,1,0.0365,0.151,7.73e-05,0.0913,0.272,90.172,audio_features,0Cp7pkYwl4WCGRHhrfcsrg,spotify:track:0Cp7pkYwl4WCGRHhrfcsrg,https://api.spotify.com/v1/tracks/0Cp7pkYwl4WCGRHhrfcsrg,https://api.spotify.com/v1/audio-analysis/0Cp7pkYwl4WCGRHhrfcsrg,275693,4
173,Black Dog - Remaster,3qT4bUD1MaWpGrTwcvguhb,Led Zeppelin,0.437,0.864,4,-7.842,0,0.0904,0.396,0.0314,0.242,0.749,81.394,audio_features,3qT4bUD1MaWpGrTwcvguhb,spotify:track:3qT4bUD1MaWpGrTwcvguhb,https://api.spotify.com/v1/tracks/3qT4bUD1MaWpGrTwcvguhb,https://api.spotify.com/v1/audio-analysis/3qT4bUD1MaWpGrTwcvguhb,295387,4
174,Every Rose Has Its Thorn - Remastered 2003,43GS3mtezoIFiuIZCLLiDY,Poison,0.533,0.637,6,-5.571,1,0.0323,0.16,1.12e-05,0.369,0.292,140.167,audio_features,43GS3mtezoIFiuIZCLLiDY,spotify:track:43GS3mtezoIFiuIZCLLiDY,https://api.spotify.com/v1/tracks/43GS3mtezoIFiuIZCLLiDY,https://api.spotify.com/v1/audio-analysis/43GS3mtezoIFiuIZCLLiDY,260173,4
175,Goodbye Yellow Brick Road - Remastered 2014,6Rvlwah55rEmg1ufhBz022,Elton John,0.559,0.473,5,-7.712,1,0.0279,0.446,0.00141,0.154,0.397,121.227,audio_features,6Rvlwah55rEmg1ufhBz022,spotify:track:6Rvlwah55rEmg1ufhBz022,https://api.spotify.com/v1/tracks/6Rvlwah55rEmg1ufhBz022,https://api.spotify.com/v1/audio-analysis/6Rvlwah55rEmg1ufhBz022,192827,4
176,Hello,0mHyWYXmmCB9iQyK18m3FQ,Lionel Richie,0.487,0.246,9,-14.104,0,0.0376,0.414,0.0,0.0983,0.0562,61.084,audio_features,0mHyWYXmmCB9iQyK18m3FQ,spotify:track:0mHyWYXmmCB9iQyK18m3FQ,https://api.spotify.com/v1/tracks/0mHyWYXmmCB9iQyK18m3FQ,https://api.spotify.com/v1/audio-analysis/0mHyWYXmmCB9iQyK18m3FQ,251107,4
177,Maniac,1xPSDf8z4dH46gkvlLtvDO,Michael Sembello,0.617,0.533,3,-11.516,0,0.0651,0.0891,4.04e-06,0.0415,0.835,158.86,audio_features,1xPSDf8z4dH46gkvlLtvDO,spotify:track:1xPSDf8z4dH46gkvlLtvDO,https://api.spotify.com/v1/tracks/1xPSDf8z4dH46gkvlLtvDO,https://api.spotify.com/v1/audio-analysis/1xPSDf8z4dH46gkvlLtvDO,244707,4
178,Celebration,5ZAO9yN4UKaE8kIvgb5cdf,Kool & The Gang,0.829,0.839,1,-5.251,1,0.0443,0.0993,0.0201,0.0491,0.96,121.589,audio_features,5ZAO9yN4UKaE8kIvgb5cdf,spotify:track:5ZAO9yN4UKaE8kIvgb5cdf,https://api.spotify.com/v1/tracks/5ZAO9yN4UKaE8kIvgb5cdf,https://api.spotify.com/v1/audio-analysis/5ZAO9yN4UKaE8kIvgb5cdf,221093,4
179,Always Something There to Remind Me - 2018 Remaster,3ZXcjz3A5vNsR5dA1e6ITl,Naked Eyes,0.609,0.777,7,-5.853,1,0.0377,0.126,0.0,0.519,0.682,149.252,audio_features,3ZXcjz3A5vNsR5dA1e6ITl,spotify:track:3ZXcjz3A5vNsR5dA1e6ITl,https://api.spotify.com/v1/tracks/3ZXcjz3A5vNsR5dA1e6ITl,https://api.spotify.com/v1/audio-analysis/3ZXcjz3A5vNsR5dA1e6ITl,219373,4
180,Eye In The Sky,39qYD4J4BKvZMQgxfXl5bv,The Alan Parsons Project,0.823,0.417,2,-12.643,1,0.032,0.562,0.00098,0.0765,0.522,111.928,audio_features,39qYD4J4BKvZMQgxfXl5bv,spotify:track:39qYD4J4BKvZMQgxfXl5bv,https://api.spotify.com/v1/tracks/39qYD4J4BKvZMQgxfXl5bv,https://api.spotify.com/v1/audio-analysis/39qYD4J4BKvZMQgxfXl5bv,276280,4
181,You Might Think,35wVRTJlUu2kDkqXFegOKt,The Cars,0.728,0.855,2,-6.031,1,0.0333,0.109,0.000576,0.113,0.971,133.887,audio_features,35wVRTJlUu2kDkqXFegOKt,spotify:track:35wVRTJlUu2kDkqXFegOKt,https://api.spotify.com/v1/tracks/35wVRTJlUu2kDkqXFegOKt,https://api.spotify.com/v1/audio-analysis/35wVRTJlUu2kDkqXFegOKt,184717,4
